date,yr,source,variety,varietyII,Location,County,Comments,loc_full,lon,lat
7/26/2005,2005,Crop,NA,NA,Kilkeel,Down,NA,"Kilkeel, Down, UK",-6.007004,54.0631154
7/26/2005,2005,Crop,NA,NA,"Eglish, Clough",Antrim,NA,"Eglish, Clough, Antrim, UK",-6.79442,54.45152
7/27/2005,2005,Dump,NA,NA,"Kilraghts, Ballymoney",Antrim,NA,"Kilraghts, Ballymoney, Antrim, UK",-6.4048099,55.07145
7/31/2005,2005,Allotment,NA,NA,Dundonald,Down,NA,"Dundonald, Down, UK",-5.7946096,54.5930972
7/31/2005,2005,Allotment,NA,NA,Dundonald,Down,NA,"Dundonald, Down, UK",-5.7946096,54.5930972
8/14/2005,2005,Garden,NA,NA,"Roscolban, Kesh",Fermanagh,NA,"Roscolban, Kesh, Fermanagh, UK",-7.7225138,54.5233599
5/28/2006,2006,Crop,Home Guard,NA,Kilkeel,Down,NA,"Kilkeel, Down, UK",-6.007004,54.0631154
6/8/2006,2006,Crop,NA,NA,Kilkeel,Down,NA,"Kilkeel, Down, UK",-6.007004,54.0631154
7/17/2006,2006,Crop,British Queen,NA,Portrush,Antrim,NA,"Portrush, Antrim, UK",-6.6526708,55.2041945
7/17/2006,2006,Crop,Dunbar Standard,NA,Portrush,Antrim,NA,"Portrush, Antrim, UK",-6.6526708,55.2041945
7/17/2006,2006,Crop,Caberet,NA,Limavady,Londonderry,NA,"Limavady, Londonderry, UK",-7.3112299,55.002057
7/18/2006,2006,Crop,King Edward,NA,Garvagh,Londonderry,NA,"Garvagh, Londonderry, UK",-7.2771765,55.0056023
7/18/2006,2006,Crop,Kerrs Pink,NA,Donemana,Tyrone,NA,"Donemana, Tyrone, UK",-7.3132207,54.8736289
7/20/2006,2006,Crop,Kerrs Pink,NA,Newtownstewart,Tyrone,NA,"Newtownstewart, Tyrone, UK",-7.3804931,54.7161761
7/25/2006,2006,Crop,Dundrod,NA,Ballymena,Antrim,NA,"Ballymena, Antrim, UK",-6.2072498,54.7195338
7/26/2006,2006,Crop,Dundrod,NA,Revallagh,Antrim,NA,"Revallagh, Antrim, UK",-6.2072498,54.7195338
7/27/2006,2006,Crop,Kerrs Pink,NA,Claudy,Londonderry,NA,"Claudy, Londonderry, UK",-7.1535639,54.9118564
7/27/2006,2006,Crop,Desiree,NA,Downpatrick,Down,NA,"Downpatrick, Down, UK",-5.7156922,54.3287514
7/28/2006,2006,Crop,King Edward,NA,Downpatrick,Down,NA,"Downpatrick, Down, UK",-5.7156922,54.3287514
8/2/2006,2006,Crop,Kerrs Pink,NA,Newtownards,Down,NA,"Newtownards, Down, UK",-5.6931703,54.5913787
8/2/2006,2006,Crop,Cultra,NA,Drogheda,Ireland,NA,"Drogheda, Ireland, UK",-6.3800214,53.702128
8/10/2006,2006,Crop,Kerrs Pink,NA,Katesbridge,Down,NA,"Katesbridge, Down, UK",-6.1424565,54.3020804
5/10/2007,2007,Dump,NA,NA,"Benagh, Kilkeel",Down,NA,"Benagh, Kilkeel, Down, UK",-6.0778129,54.0510309
5/10/2007,2007,Field (under plastic),Dunluce,NA,Mahee Island,Down,NA,"Mahee Island, Down, UK",-5.6365415,54.5007422
